ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,484,94
2,47,522,94
3,71,525,94
4,95,603,94
5,113,744,94
6,179,948,94
7,260,703,93
8,303,701,93
9,335,1003,94
10,404,1303,25
11,417,1333,94
12,437,1451,94
13,466,1529,94
14,467,1542,94
15,563,1475,94
16,566,1499,94
17,647,1838,94
18,782,2188,94
19,793,2207,89
20,821,1998,94
21,914,2047,94
22,925,2084,91
23,1001,2490,94
24,1055,2820,94
25,1102,2913,93
26,1160,2620,94
27,1207,2600,94
28,1232,2585,94
29,1323,3043,94
30,1373,3119,94
31,1418,3128,94
32,1620,3388,94
33,1665,3749,94
34,1817,3742,94
35,1923,4313,94
36,1992,4153,94
37,2129,3272,94
38,2135,3266,94
39,2141,3299,94
40,2204,3938,91
41,2426,4250,94
42,2636,4163,93
43,2771,3772,91
44,2874,4502,94
45,2975,4566,94
46,3162,4657,94
47,3191,4602,94
48,3248,4544,94
49,3471,4613,94
50,3530,4541,94
51,3586,4463,94
52,3736,4241,92
53,3915,5203,86
54,4034,4478,94
55,4191,3518,94
56,4417,3402,94
57,4627,3666,94
58,4660,3383,94
59,4918,3054,87
60,5249,3955,93
61,5315,3673,94
62,5658,3750,93
63,7205,2898,94
64,7585,2608,92
65,7874,2352,93
66,8042,2594,94
67,9763,2137,59
68,9869,2299,93
69,10401,2904,94
70,10415,2859,94
71,10585,2628,94
72,11894,4270,90
73,12470,4418,94
74,14075,3974,94
75,16775,2669,94
76,18320,2675,94
77,21307,2230,94
78,21332,2216,93
79,21378,2389,24
80,21499,2444,73
81,21937,1947,94
82,21963,1966,91
83,22336,2551,41
84,22550,1815,86
85,22570,1815,93
86,22571,1793,38
87,22640,1905,39
88,22675,1933,62
89,23693,2069,94
90,24674,2102,94
91,24816,1969,94
92,24817,1969,94
93,25395,1656,93
