ID,Column_ID,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_Freq,>Omicron_BA.2_N408__EPI_ISL_7190366_2021-12-01_BA.2_Australia_QLD2568_LNum
1,9,497,94
2,47,495,94
3,71,491,94
4,95,521,94
5,113,662,94
6,179,981,94
7,260,741,93
8,303,730,93
9,335,1037,94
10,404,1321,25
11,417,1300,94
12,437,1423,94
13,466,1480,94
14,467,1493,94
15,563,1405,94
16,566,1386,94
17,647,1742,94
18,782,2220,94
19,793,2223,89
20,821,2046,94
21,914,2081,94
22,925,2122,91
23,1001,2438,94
24,1055,2677,94
25,1102,2852,93
26,1160,2541,94
27,1207,2536,94
28,1232,2633,94
29,1323,3008,94
30,1373,3202,94
31,1418,3217,94
32,1620,3308,94
33,1665,3742,94
34,1817,3647,94
35,1923,4267,94
36,1992,3947,94
37,2129,3234,94
38,2135,3215,94
39,2141,3219,94
40,2204,3878,91
41,2426,4154,94
42,2636,4042,93
43,2771,3794,91
44,2874,4518,94
45,2975,4425,94
46,3162,4711,94
47,3191,4744,94
48,3248,4482,94
49,3471,4741,94
50,3530,4488,94
51,3586,4411,94
52,3736,4332,92
53,3915,5187,86
54,4034,4609,94
55,4191,3545,94
56,4417,3373,94
57,4627,3529,94
58,4660,3363,94
59,4918,2971,87
60,5249,4027,93
61,5315,3818,94
62,5658,3623,93
63,7205,2810,94
64,7585,2597,92
65,7874,2399,93
66,8042,2568,94
67,9763,2070,59
68,9869,2277,93
69,10401,2808,94
70,10415,2817,94
71,10585,2603,94
72,11894,4296,90
73,12470,4439,94
74,14075,3963,94
75,16775,2773,94
76,18320,2690,94
77,21307,2231,94
78,21332,2260,93
79,21378,2319,24
80,21499,2508,73
81,21937,1826,94
82,21963,1872,91
83,22336,2353,41
84,22550,1764,86
85,22570,1782,93
86,22571,1710,38
87,22640,1895,39
88,22675,1942,62
89,23693,2098,94
90,24674,2002,94
91,24816,2010,94
92,24817,2000,94
93,25395,1680,93
